Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,377.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,377.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,377.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,377.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,376.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,376.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,376.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,375.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,375.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,375.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,375.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,375.0,Mortgage,2013
,,,,374.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,374.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,374.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,374.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,373.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,372.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,371.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,371.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,371.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,370.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,370.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,370.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,370.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,369.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,369.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,369.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,369.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,369.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,368.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,368.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,367.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,366.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,365.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,365.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,365.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,365.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,364.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,364.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,363.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,363.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,363.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,362.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,361.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,360.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,359.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,359.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,359.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,358.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,358.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,357.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,357.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,357.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,357.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,357.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,356.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,356.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,355.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,355.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,355.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
